time_sec,rms_Sample,rms_Voc 1,rms_Voc 2,rms_Guitare,rms_Basse,rms_BatterieG,rms_BatterieD,region,beat,measure,x_Voc 1,y_Voc 1
231.4,22994249.595,249050614.917,268112219.446,149542.497,217602727.406,337752624.686,339775873.974,,1,2,-0.015588186639689649,0.9189982974333489
231.5,18401933.929,248626586.98,268728840.703,149716.937,216220646.596,325626590.404,329099313.206,,1,2,-0.013069954062073678,0.9202560372612479
231.6,30062879.883,250231582.893,270027055.332,149332.937,210621635.107,320828769.702,363694599.252,,2,2,0.00039604172956344413,0.9422117323559058
231.7,24056844.118,254356343.566,234168065.566,149176.686,215640982.031,323680818.993,371012475.678,,2,2,0.011510736118306074,0.9473798078377452
231.8,19252003.582,255801053.138,194202148.049,148981.871,215364628.687,317346569.382,359001831.601,,2,2,0.0016198658916587796,0.9290746555596272
231.9,15408287.418,261138635.603,161010982.532,149743.237,214850398.455,316958177.747,356202780.093,,3,2,-0.018903418463165296,0.8865917122124757
232.0,23718588.98,275706354.17,141870901.309,150693.063,213810400.376,319718219.238,386180641.379,,3,2,-0.06594623188005128,0.8349613985471147
232.1,18981387.526,276471640.373,137535101.895,626418.195,218635099.323,326762830.243,335613246.587,,3,2,0.0076751061988974065,0.7504047155484639
232.2,15191608.403,287659419.953,139665913.466,23129401.218,206274539.45,296945007.764,284589990.958,,3,2,0.3478567632947619,0.6422033251355127
232.3,27494659.333,360232338.938,183737494.328,72517896.337,208001280.511,281870959.657,319180410.745,,4,2,1.6262710182426245,0.27964601355208385
232.4,22002186.765,414909111.696,218306703.086,104592825.716,212176300.843,290602615.672,295932460.101,,4,2,2.1467594329184796,-0.022469598485378772
232.5,17608375.429,448216367.732,239503865.84,124117933.558,212778894.764,300355892.552,261612445.513,,4,2,2.1332868697901763,-0.07264239630894098
232.6,29428236.123,448446057.602,223507725.765,122630211.401,211739653.376,309468464.688,287382632.406,,1,3,2.1656220190655735,-0.177296131697958
232.7,23549270.536,431016507.953,204791016.212,110114202.627,197743215.799,252977095.383,287901896.846,,1,3,1.9599584465760362,-0.21851157377535801
232.8,18845914.812,399955680.077,177193065.292,93707190.577,194345164.358,226164461.055,266203988.7,,1,3,1.2168499209330763,-0.17123018933707024
