time_sec,rms_Sample,rms_Voc 1,rms_Voc 2,rms_Guitare,rms_Basse,rms_BatterieG,rms_BatterieD,region,beat,measure,x_Voc 1,y_Voc 1
234.7,21072230.488,326203591.066,231031689.009,119676516.671,188240876.627,302295787.256,308415499.025,Chorus_,3,4,,
234.8,16864255.74,279561111.663,223694238.392,98161703.746,191135013.464,308729278.169,280141589.002,Chorus_,3,4,,
234.9,13497824.569,241947657.641,238573096.519,79686890.343,180134043.325,256456561.554,308469103.601,Chorus_,3,4,,
235.0,26139755.938,210927955.872,256923190.678,64383358.036,183951756.235,263007184.321,334526757.046,Chorus_,4,4,,
235.1,20918285.124,185361760.229,279508201.35,51795456.63,186877064.75,277033187.404,303805357.017,Chorus_,4,4,,
235.2,16741105.466,162884571.897,286108488.279,41588955.638,186835558.197,294293115.058,262445491.651,Chorus_,4,4,,
235.3,28734280.225,145549519.479,289928882.185,33343752.409,178197933.355,304515209.368,302965312.933,Chorus_,1,5,,
235.4,22994005.955,130185572.693,303870916.137,26718457.316,152027604.954,268684778.713,269396774.587,Chorus_,1,5,,
235.5,18401874.731,116367868.037,308039912.892,21403630.381,156929590.802,260498406.614,301252146.368,Chorus_,1,5,,
235.6,30063011.165,104380769.195,321567318.255,17148481.107,162053252.414,268734436.722,326443485.881,Chorus_,2,5,,
235.7,24056868.231,95449570.724,323388588.201,13744113.74,162327466.7,279949967.006,314514237.35,Chorus_,2,5,,
235.8,19252120.602,86217412.916,302613767.619,11020624.423,163026492.6,291140886.307,280472262.125,Chorus_,2,5,,
235.9,15408313.675,79356116.77,301482191.553,8843572.535,166889074.21,295642536.926,247885268.473,Chorus_,2,5,,
236.0,23718586.898,72560122.157,313756943.593,7102672.447,171201741.832,292058003.414,303858502.366,Chorus_,3,5,,
236.1,18981504.35,66893264.876,305142253.845,5709984.672,181099456.476,289986719.182,338522437.251,Chorus_,3,5,,
236.2,15191746.669,61666314.726,314398248.838,4596804.387,180749621.686,292060996.93,370402768.804,Chorus_,3,5,,
236.3,27494747.533,56867585.756,318132503.181,3706102.788,180262835.685,292583514.598,411066082.792,Chorus_,4,5,,
236.4,22002329.297,52824624.991,321223201.482,2993420.83,180332910.025,286978152.797,429545276.534,Chorus_,4,5,,
236.5,17608480.631,49060588.752,326033084.027,2424480.174,179450584.157,286151776.461,432979775.683,Chorus_,4,5,,
236.6,29428183.768,45005268.948,323276181.556,1969771.546,181140509.927,290684237.605,449168093.284,Chorus_,1,6,,
236.7,23549143.57,41647431.833,318944124.853,1606102.271,179613796.551,295523199.375,447282583.485,Chorus_,1,6,,
236.8,18845834.187,38558120.12,315734674.877,1315049.586,176461797.221,301896361.436,443471516.827,Chorus_,1,6,,
