time_sec,rms_Sample,rms_Voc 1,rms_Voc 2,rms_Guitare,rms_Basse,rms_BatterieG,rms_BatterieD,region,beat,measure,x_Voc 1,y_Voc 1
77.0,27407835.622,310598.886,326716362.825,141020.412,170227106.302,266033566.042,401520230.304,Verse,1,1,-0.018,0.957
77.1,21932730.811,310260.422,323302440.678,141041.105,171792962.883,267532026.024,396135840.244,Verse,1,1,-0.018,0.957
77.2,17552718.901,309557.151,282736091.599,140985.982,173060057.412,241551565.93,362625053.277,Verse,1,1,-0.018,0.958
77.3,25433911.303,310841.573,286460804.959,141520.338,171566499.639,242229083.808,393780895.38,Verse,2,1,-0.018,0.973
77.4,20353615.424,312474.944,294654597.392,142581.952,173218769.018,268304888.712,345347300.071,Break_/_Bridge,2,1,-0.096,1.237
77.5,16289357.666,313220.792,299904850.993,142489.376,185286340.972,287124999.414,297748686.176,Break_/_Bridge,2,1,-0.329,1.462
77.6,28373000.234,313731.171,304997970.57,142375.147,192143936.452,308719897.245,252867151.776,Break_/_Bridge,3,1,-0.428,1.533
77.7,22705035.018,314631.038,306775103.738,142573.359,198352204.266,327253970.428,221221463.64,Break_/_Bridge,3,1,-0.487,1.558
77.8,18170630.473,314459.309,306788251.44,142800.809,198255007.704,343752502.7,191334686.259,Break_/_Bridge,3,1,-0.557,1.568
77.9,14542978.737,314550.887,305784059.596,142484.781,201602609.981,361730927.394,168949498.9,Break_/_Bridge,3,1,-0.631,1.568
78.0,26975780.418,313215.801,311756711.201,142565.492,199551890.681,375375407.42,216697382.044,Break_/_Bridge,4,1,-0.678,1.575
78.1,21587143.665,312535.602,313753099.299,142885.4,202086959.794,388677087.702,191661576.732,Break_/_Bridge,4,1,-0.736,1.575
78.2,17276267.046,312069.668,314915815.556,142729.809,213004485.424,400049927.442,160389215.686,Break_/_Bridge,4,1,-0.798,1.568
78.3,29162391.243,310265.719,312606494.271,141929.296,212276532.108,408118636.514,144223420.215,Break_/_Bridge,1,2,-0.863,1.547
78.4,23336308.653,311521.444,313337988.958,142075.16,205544095.747,414196655.575,130243923.467,Break_/_Bridge,1,2,-0.931,1.533
78.5,18675566.253,313526.056,312143743.272,143302.744,209369097.892,420586371.026,114653575.936,Break_/_Bridge,1,2,-1.016,1.506
78.6,26332192.014,312189.34,320930893.92,142805.964,213543512.543,421320200.965,158460939.716,Break_/_Bridge,2,2,-1.082,1.471
78.7,21072359.019,309759.106,330587611.669,141671.084,203833450.234,426661240.948,179544310.706,Break_/_Bridge,2,2,-1.15,1.436
78.8,16864442.301,310274.618,334284888.639,141976.277,199381004.964,429491528.811,154498033.045,Break_/_Bridge,2,2,-1.197,1.401
78.9,13498073.172,311831.816,343349243.913,142523.062,199178773.22,432280643.557,131610946.359,Break_/_Bridge,3,2,-1.251,1.346
