time_sec,rms_Sample,rms_Voc 1,rms_Voc 2,rms_Guitare,rms_Basse,rms_BatterieG,rms_BatterieD,region,beat,measure,x_Voc 1,y_Voc 1
113.2,17553122.448,29905014.303,304791407.247,9209654.861,163183710.304,297470130.458,260219127.821,Chorus,1,4,-0.009,0.952
113.3,25434357.075,24530745.538,306183933.345,7394437.67,166985498.408,295891104.866,312525838.772,Chorus,2,4,-0.009,0.952
113.4,20354043.717,20081484.969,310766914.553,5943810.808,175385775.841,289817842.593,332431339.474,Chorus,2,4,-0.009,0.952
113.5,16289763.262,16549704.849,313955623.92,4782119.402,180202519.311,290400311.502,361447509.106,Chorus,2,4,-0.009,0.952
113.6,28373144.322,13658240.806,321733097.532,3853504.649,178983819.386,293666807.976,398200618.138,Chorus,3,4,-0.009,0.952
113.7,22705079.452,11394135.274,327605957.111,3110930.286,179795375.904,287508325.076,408894906.594,Chorus,3,4,-0.009,0.952
113.8,18170585.879,9540654.214,333037125.926,2517293.983,179061435.584,285573268.911,408144199.311,Chorus,3,4,-0.009,0.952
113.9,14543059.351,8003368.119,335184309.504,2043140.605,179743776.284,291122847.752,414185937.577,Chorus,3,4,-0.009,0.951
114.0,26975777.522,6765432.399,330366548.386,1663786.471,180074583.759,295066319.655,442211664.147,Chorus,4,4,-0.009,0.951
114.1,21587355.925,5735619.618,327146339.422,1360068.631,175686151.842,297407060.74,458650898.606,Chorus,4,4,-0.008,0.951
114.2,17276507.817,4952909.242,322715979.721,1117026.441,175904128.559,302393244.4,459832420.599,Chorus,4,4,-0.008,0.951
114.3,29162660.876,4339436.936,318148267.997,922964.776,175408993.349,303299206.219,484741236.743,Chorus,1,5,-0.008,0.951
114.4,23336539.569,3698177.121,317151966.825,767743.565,180483423.063,300081178.927,477703141.905,Chorus,1,5,-0.008,0.951
114.5,18675768.888,3213729.281,297939446.74,643302.706,177707334.619,302078809.279,468975709.064,Chorus,1,5,-0.008,0.951
114.6,26332409.663,2827066.157,254258448.7,543355.412,177718961.236,307247311.018,471914321.126,Chorus,2,5,0.054,0.612
114.7,21072252.954,2470621.808,226723361.512,463004.302,176044385.958,316002448.944,454065369.928,Chorus,2,5,0.073,0.064
114.8,16864345.552,2181386.339,203167351.641,400505.027,175702480.734,320118597.551,386250290.24,Chorus,2,5,0.016,-0.962
114.9,13498128.864,91859166.016,217265655.076,46310488.241,165636643.666,278553527.498,326483774.376,Chorus,2,5,-0.203,-2.181
115.0,26140018.485,194280299.337,243350364.561,86524259.42,168912725.219,281966276.078,390072141.019,Chorus,3,5,-0.315,-2.443
115.1,20918557.977,263226040.425,261503641.673,119351838.152,172076248.151,294901972.072,349452745.795,Chorus,3,5,-0.304,-2.314
115.2,16741551.301,313877175.672,268168495.44,131766397.5,174758205.827,309758377.578,302141196.173,Chorus,3,5,-0.291,-2.239
115.3,28734850.285,312711191.054,242606445.068,122660241.865,168650002.946,318702949.409,333846555.486,Chorus,4,5,-0.282,-2.267
115.4,22994538.504,292262808.108,211490012.481,106527334.402,145292357.668,286189160.444,293656952.158,Chorus,4,5,-0.018,-1.379
115.5,18402327.001,266907667.581,183212008.121,89712529.153,151711209.297,268436893.314,321581769.707,Chorus,4,5,-0.098,0.475
115.6,30063145.007,303396521.47,219350679.489,118219121.407,156270804.331,278388503.18,339907397.62,Chorus,1,6,-1.468,0.41
115.7,24057200.558,349272592.21,247479180.135,143454687.118,158809124.066,283488946.003,322838541.558,Chorus,1,6,-2.56,0.203
115.8,19252365.854,389277024.268,271374227.312,163661096.511,160928201.152,291519617.211,286347315.143,Chorus,1,6,-2.607,0.196
115.9,15408530.449,393731426.654,287546574.725,163752996.397,164855393.533,296990062.762,250653338.544,Chorus,1,6,-2.559,0.312
