time_sec,rms_Sample,rms_Voc 1,rms_Voc 2,rms_Guitare,rms_Basse,rms_BatterieG,rms_BatterieD,region,beat,measure,x_Voc 1,y_Voc 1
129.0,27407985.03,319124.8,305049044.056,142847.158,184432879.933,269059534.091,290737400.1,Verse,1,1,0.004,0.947
129.1,21932957.951,319730.689,299388002.893,142717.383,186663011.275,278522069.304,269045586.959,Verse,1,1,0.004,0.947
129.2,17553009.993,319578.909,294562732.074,142649.706,193543333.087,296358204.792,234667407.666,Verse,1,1,0.004,0.947
129.3,25434231.167,320895.263,299714053.616,142637.917,189835656.998,279034595.748,323872959.609,Verse,2,1,0.004,0.947
129.4,20353963.748,321368.275,297337808.19,141766.233,197658174.799,273163234.678,325565443.92,Verse,2,1,0.004,0.947
129.5,16289660.383,321343.218,276595606.048,141684.345,193644875.937,278146089.351,311039431.066,Verse,2,1,0.004,0.947
129.6,28373144.9,321570.69,286263588.201,142024.187,188476272.548,269529704.633,343962308.114,Verse,3,1,0.004,0.947
129.7,22704941.962,324022.188,288187045.425,142789.813,187308068.652,268180763.746,360071590.39,Verse,3,1,0.004,0.947
129.8,18170457.944,323242.521,290655410.718,143287.546,184463741.218,273828085.023,345962421.226,Verse,3,1,0.004,0.947
129.9,14542954.046,323115.194,296334499.88,143718.612,179533460.146,276569554.241,339556609.306,Verse,3,1,0.004,0.947
130.0,26976106.098,321643.3,296901079.033,143402.72,176199527.129,268603378.521,354095535.429,Verse,4,1,0.004,0.946
130.1,21587469.612,321603.244,290754858.373,143468.193,177897038.798,264206069.225,374422411.696,Verse,4,1,0.004,0.946
130.2,17276524.83,321822.788,256223576.514,143712.589,175586440.703,265890612.189,390099139.425,Verse,4,1,0.004,0.946
130.3,29162602.9,320744.943,212735007.466,143321.257,172145972.681,263857117.428,424930266.469,Verse,1,2,0.004,0.946
130.4,23336625.509,320341.441,175505291.172,142773.386,172778138.42,265635614.891,436698484.285,Verse,1,2,0.004,0.946
130.5,18675804.782,320099.562,144573835.405,142679.368,173116915.636,256131044.006,421497758.147,Verse,1,2,0.004,0.946
130.6,26332505.299,321769.427,117305270.948,142708.654,172794786.859,237607185.021,427662550.784,Verse,2,2,0.004,0.946
130.7,21072568.233,321651.102,94660723.597,143298.05,173757266.98,260393615.871,416863678.288,Break_Bridge,2,2,0.004,0.946
130.8,16864582.874,322881.249,76175422.295,143424.369,185606760.195,279152643.432,353562300.12,Break_Bridge,2,2,0.004,0.946
130.9,13498113.525,322335.855,61479359.94,143427.027,190840285.473,301341861.438,295666798.229,Break_Bridge,3,2,0.004,0.946
131.0,26139962.921,320001.791,49440789.467,142387.303,190616944.242,320436853.377,255916010.807,Break_Bridge,3,2,0.004,0.946
131.1,20918387.279,318887.07,39844709.739,142314.188,186659917.14,337569274.828,218846512.881,Break_Bridge,3,2,0.004,0.946
131.2,16741132.833,317657.386,32104379.13,141629.036,185254152.269,353389962.619,186247945.591,Break_Bridge,3,2,0.004,0.946
131.3,28734398.073,318276.508,25894363.126,142017.596,181760741.418,351208509.279,242751252.116,Break_Bridge,4,2,0.004,0.946
131.4,22994052.711,317244.253,20922958.257,142053.628,178496285.248,350997174.526,219598033.118,Break_Bridge,4,2,0.004,0.946
131.5,18401734.554,316890.386,16949304.643,142120.668,176265920.355,353621596.592,185758012.899,Break_Bridge,4,2,0.004,0.946
131.6,30062791.302,317685.676,13771932.154,141615.126,176007336.52,362259346.854,162572055.254,Break_Bridge,1,3,0.004,0.946
131.7,24056758.345,318493.475,11218176.532,141917.695,176011519.994,370239025.763,148134678.698,Break_Bridge,1,3,0.004,0.946
131.8,19251946.888,320005.413,9181434.844,141995.636,176625905.832,381356174.107,130951317.619,Break_Bridge,1,3,0.004,0.946
131.9,15408025.849,318914.123,7554056.349,141489.629,179679879.001,392877156.204,121304277.837,Break_Bridge,2,3,0.004,0.946
132.0,23718188.617,319526.464,6261835.003,141871.536,176850836.659,383197787.59,190591654.035,Break_Bridge,2,3,0.004,0.946
132.1,18981153.352,321166.384,5220899.185,142355.165,175119619.947,379937346.578,171791367.605,Break_Bridge,2,3,0.004,0.946
132.2,15191465.871,321854.256,4390764.601,142586.665,173154178.175,379259674.173,145739512.194,Break_Bridge,2,3,0.004,0.946
132.3,27494743.952,322966.479,3722919.009,142878.094,172904123.821,384846235.934,133660255.364,Break_Bridge,3,3,0.004,0.946
132.4,22002531.961,320587.433,3186511.096,142357.78,170850990.089,389945108.859,123562008.464,Break_Bridge,3,3,0.004,0.946
132.5,17608550.872,320337.237,2758777.788,142868.671,168686902.895,399185677.513,112782887.632,Break_Bridge,3,3,0.004,0.946
132.6,29428327.118,319452.695,2414503.845,142998.466,169817067.412,400013813.898,169787819.124,Break_Bridge,4,3,0.004,0.946
132.7,23549154.08,319201.524,2148821.298,143112.706,170379296.179,394089265.294,198919419.122,Break_Bridge,4,3,0.004,0.946
132.8,18845916.866,318565.393,1925428.964,142888.666,172800491.55,392173443.877,171025736.482,Break_Bridge,4,3,0.004,0.946
132.9,15083282.633,317253.195,1760191.058,142447.232,175323793.759,383347167.019,147550775.555,Break_Bridge,1,4,0.004,0.946
133.0,27408207.923,316539.03,1619557.481,142566.38,173349792.814,369412091.237,138778268.782,Break_Bridge,1,4,0.004,0.946
133.1,21933115.478,316865.082,1503593.46,143146.1,173110472.243,368192512.869,128067690.248,Break_Bridge,1,4,0.004,0.946
133.2,17553080.074,317049.659,1414879.581,143655.796,173961276.86,364798952.757,116640821.656,Break_Bridge,1,4,0.004,0.946
133.3,25434262.235,318646.329,1335442.455,143635.777,174258411.46,353130005.106,202827142.4,Break_Bridge,2,4,0.004,0.946
133.4,20353950.0,319973.086,1277524.505,143907.362,173608662.338,346238773.497,191337223.505,Break_Bridge,2,4,0.004,0.946
133.5,16289649.384,319543.724,1230994.533,143511.842,173449630.12,349896398.44,168047111.306,Break_Bridge,2,4,0.004,0.946
133.6,28373211.581,318307.151,1197465.994,143276.795,175019064.506,359073956.203,148707819.118,Break_Bridge,3,4,0.004,0.946
133.7,22705100.536,316896.903,1161270.333,142499.281,174886370.135,364429379.885,135971588.842,Break_Bridge,3,4,0.004,0.946
133.8,18170560.802,316687.171,1137196.307,141772.831,173544346.19,370236971.107,121672977.633,Break_Bridge,3,4,0.004,0.946
133.9,14542895.867,316535.109,1121720.998,142178.011,176813660.118,375446670.694,113682257.417,Break_Bridge,3,4,0.004,0.946
134.0,26975781.101,316707.483,1110473.388,141342.775,176060840.658,369789997.608,185624887.599,Break_Bridge,4,4,0.004,0.946
134.1,21587256.775,315344.978,1101288.843,141524.945,176587187.065,370311655.361,170282013.231,Break_Bridge,4,4,0.004,0.946
134.2,17276294.804,315533.141,1087417.728,142185.839,176995989.98,374298246.474,145908675.675,Break_Bridge,4,4,0.004,0.946
134.3,29162423.052,315755.684,1079595.345,142068.595,175507150.782,378718357.438,133345170.699,Break_Bridge,1,5,0.004,0.946
134.4,23336576.207,315657.532,1070351.745,142178.886,175132470.45,382579432.259,122234506.453,Break_Bridge,1,5,0.004,0.946
134.5,18675854.568,316806.752,1071334.293,142396.75,175371224.084,378273878.225,110175153.724,Break_Bridge,1,5,0.004,0.946
134.6,26332619.018,316806.245,1062198.416,141847.772,172258336.772,359522704.507,165259338.188,Break_Bridge,2,5,0.004,0.946
134.7,21072750.564,316082.66,1054931.913,142013.973,170172912.242,354209411.179,190053791.749,Break_Bridge,2,5,0.004,0.946
134.8,16864785.185,317163.518,1054163.045,142038.717,167700771.643,354048116.533,163509127.988,Break_Bridge,2,5,0.004,0.946
134.9,13498211.613,317602.069,1054147.185,142063.53,168202839.078,348755754.098,138423938.964,Break_Bridge,2,5,0.004,0.946
135.0,26140084.476,318237.416,1058608.154,142397.821,168843617.662,339572167.954,128883789.501,Break_Bridge,3,5,0.004,0.946
135.1,20918604.813,318827.919,1056554.277,142250.4,168481802.607,335054510.175,116634234.118,Break_Bridge,3,5,0.004,0.946
135.2,16741483.358,318466.51,5605589.941,142881.71,166925796.212,339122012.34,103891099.121,Break_Bridge,3,5,0.004,0.946
135.3,28734593.43,318244.933,27644083.535,143245.422,162096418.299,340883556.314,175737248.376,Break_Bridge,4,5,0.004,0.946
135.4,22994103.817,317093.518,63836205.358,142718.414,163156289.73,351759693.344,169346891.282,Break_Bridge,4,5,0.004,0.946
135.5,18401926.686,317653.022,99560920.889,142644.053,166764668.997,360952076.921,274942582.015,Break_Bridge,4,5,0.004,0.946
135.6,30062948.195,317259.989,144813793.002,141754.654,171090802.179,362364346.641,327797404.615,Break_Bridge,1,6,0.004,0.946
135.7,24057025.602,317075.618,172374775.341,141723.043,171769637.574,357436916.425,333561331.649,Break_Bridge,1,6,0.004,0.946
135.8,19252264.114,318220.0,175842935.75,142384.687,172594646.755,357101756.645,302468584.122,Break_Bridge,1,6,0.004,0.946
135.9,15408369.348,317282.972,186497393.219,141606.2,172591837.088,358544004.372,274281068.879,Break_Bridge,1,6,0.004,0.946
136.0,23718519.565,316630.189,209035847.943,141220.521,175125418.606,349638300.73,348949321.592,Break_Bridge,2,6,0.004,0.946
136.1,18981435.788,317003.787,218262072.665,141619.682,176717193.168,354272328.538,317105642.763,Break_Bridge,2,6,0.004,0.946
136.2,15191709.657,315549.957,230657650.057,141501.796,174469006.867,359186129.291,274273110.872,Break_Bridge,2,6,0.004,0.946
136.3,27495115.893,317637.156,246552626.088,141668.234,171490334.377,366317748.303,237580232.193,Break_Bridge,3,6,0.004,0.946
136.4,22002638.88,315631.016,256257462.579,141557.08,172068792.632,373514101.553,207037343.863,Break_Bridge,3,6,0.004,0.946
136.5,17608740.061,317292.912,248634691.941,142453.354,173736967.686,379861145.648,178111664.642,Break_Bridge,3,6,0.004,0.946
136.6,29428549.649,319287.652,252935491.628,143217.982,170141100.112,382668663.091,218990237.931,Break_Bridge,4,6,0.004,0.946
136.7,23549394.805,318533.748,255479706.125,142728.118,170455310.401,370598580.239,229994928.566,Break_Bridge,4,6,0.004,0.946
136.8,18846191.649,317165.731,263037000.852,142248.997,174078093.784,372841681.302,195688364.178,Break_Bridge,4,6,0.004,0.946
136.9,15083339.835,316739.833,233361883.641,142204.514,174154286.803,376576840.685,164124289.495,Break_Bridge,4,6,0.004,0.946
137.0,27408356.172,315384.056,248638164.922,141795.684,168045973.781,384498843.44,148710276.473,Break_Bridge,1,7,0.004,0.946
137.1,21933257.828,316725.697,253129229.427,141759.252,167070105.195,388788485.291,132371335.594,Break_Bridge,1,7,0.004,0.946
137.2,17553296.641,317395.288,242749678.915,142076.668,166232787.01,392315446.392,117776016.768,Break_Bridge,1,7,0.004,0.946
137.3,25434386.286,319533.617,258235882.712,142506.715,165876231.348,382304315.291,186337961.46,Break_Bridge,2,7,0.004,0.946
137.4,20354120.332,319917.619,254679063.376,142728.865,168190529.641,374038963.072,176820391.006,Break_Bridge,2,7,0.004,0.946
137.5,16289803.634,319652.381,261340524.778,142856.434,168169112.977,373251556.641,151481842.025,Break_Bridge,2,7,0.004,0.946
137.6,28373290.453,320301.923,259142662.945,143090.35,167844841.275,372674709.617,133548768.273,Break_Bridge,3,7,0.004,0.946
137.7,22705085.627,320614.922,243998283.977,142586.34,166381124.367,378332734.329,124842321.547,Break_Bridge,3,7,0.004,0.946
137.8,18170732.626,320549.557,254645861.078,142843.776,169604412.859,382978266.445,113905348.87,Break_Bridge,3,7,0.004,0.946
137.9,14542932.843,321516.324,251381772.999,142545.186,172534186.58,388378247.691,107574159.878,Break_Bridge,3,7,0.004,0.946
138.0,26975742.865,320361.12,225961727.902,142260.41,173963710.658,374239558.419,181080112.827,Break_Bridge,4,7,0.004,0.946
138.1,21587137.481,320454.068,230891029.975,142589.116,173508437.174,375104344.753,165119289.305,Break_Bridge,4,7,0.004,0.946
138.2,17276330.121,321309.901,222836445.668,142957.914,175025152.531,374131340.88,142545279.594,Break_Bridge,4,7,0.004,0.946
138.3,29162613.411,321680.399,235906048.313,143419.67,172683386.673,364893293.728,130433597.482,Break_Bridge,1,8,0.004,0.946
138.4,23336870.759,320731.288,239339971.332,143093.926,168908609.754,353825347.043,131534382.979,Break_Bridge,1,8,0.004,0.946
138.5,18676125.564,319355.958,255575514.751,142224.402,166911648.908,349049228.561,199648016.026,Break_Bridge,1,8,0.004,0.946
138.6,26332737.865,317431.694,269844319.618,142340.302,168296471.548,343322753.2,254723089.115,Break_Bridge,2,8,0.004,0.946
138.7,21072742.406,316915.804,283435130.272,142202.428,171738286.36,348285325.35,281490081.63,Break_Bridge,2,8,0.004,0.946
138.8,16864616.935,317754.253,286941124.558,142827.476,175779679.804,340671202.398,311653455.109,Break_Bridge,2,8,0.004,0.946
138.9,13498360.594,318191.96,290180596.679,142579.962,179702459.787,346346888.994,276793699.907,Break_Bridge,2,8,0.004,0.946
139.0,26140123.36,318827.324,295996823.25,143096.658,183815376.768,340174384.803,313475553.989,Break_Bridge,3,8,0.004,0.946
139.1,20918632.941,318271.58,294705016.408,142338.472,183318891.402,336475275.124,365251992.765,Break_Bridge,3,8,0.004,0.946
139.2,16741625.781,317910.132,293856360.776,142036.314,185507431.848,334501043.989,372393891.83,Break_Bridge,3,8,0.004,0.946
139.3,28734863.05,317749.175,291763318.23,141973.996,185884793.702,332721333.071,390453997.65,Break_Bridge,4,8,0.004,0.946
139.4,22994237.183,319388.762,293856286.918,142616.454,189036425.375,328664099.439,350214913.027,Break_Bridge,4,8,0.004,0.946
139.5,18402018.703,320881.549,295346452.743,142866.683,179356259.065,331448077.996,362770804.397,Break_Bridge,4,8,0.004,0.946
139.6,30063090.442,321422.347,291871771.527,142643.912,177769382.507,335198749.312,392494121.325,Break_Bridge,1,9,0.004,0.946
139.7,24056864.966,321418.301,301659065.58,142714.287,179081578.863,339836494.513,371057831.551,Break_Bridge,1,9,0.004,0.946
139.8,19251911.95,320477.036,276043284.575,141947.642,176154960.021,338183623.926,384528015.378,Break_Bridge,1,9,0.004,0.946
139.9,15408158.517,319533.699,261304700.479,141942.461,179374622.151,338859399.943,335164969.482,Break_Bridge,1,9,0.004,0.946
140.0,23718390.608,319787.274,271198203.744,142143.941,182921174.36,334423385.302,392265978.879,Break_Bridge,2,9,0.004,0.946
140.1,18981210.869,319872.537,263935393.278,142368.856,184867973.601,329236444.315,432694311.844,Break_Bridge,2,9,0.004,0.946
140.2,15191482.048,320476.54,244497867.895,142358.152,192665054.373,329721810.848,446169584.428,Break_Bridge,2,9,0.004,0.946
140.3,27494614.495,320193.297,261819167.442,142030.063,198179707.924,326726284.658,458181753.118,Break_Bridge,3,9,0.004,0.946
140.4,22002323.491,319449.967,260904834.306,142249.238,203219183.031,325804559.74,463162620.686,Break_Bridge,3,9,0.004,0.946
140.5,17608257.496,319471.166,243124819.098,142668.341,201386884.331,323912905.356,470419376.676,Break_Bridge,3,9,0.004,0.946
140.6,29428260.854,321745.623,250565405.119,143266.738,200968427.564,316297500.263,496453440.215,Break_Bridge,4,9,0.004,0.946
140.7,23549261.106,322690.713,257630263.043,143688.687,191355787.42,313293267.838,489405713.191,Break_Bridge,4,9,0.004,0.946
140.8,18846008.392,321088.056,241320495.792,143137.464,188862585.774,305481510.326,494858954.882,Break_Bridge,4,9,0.004,0.946
140.9,15083367.74,321215.379,215478810.37,142854.487,193370811.503,303991817.787,494119464.12,Break_Bridge,4,9,0.004,0.946
